,total_stations,fips,name,Population,med_income
0,369,1,Alameda County,1671329,92574
1,4,3,Alpine County,1129,64688
2,12,5,Amador County,39752,61198
3,18,7,Butte County,219186,48443
4,3,9,Calaveras County,45905,58151
5,4,11,Colusa County,21547,56704
6,184,13,Contra Costa County,1153526,93712
7,7,15,Del Norte County,27812,45258
8,51,17,El Dorado County,192843,80582
9,157,19,Fresno County,999101,51261
10,3,21,Glenn County,28393,47395
11,47,23,Humboldt County,135558,45528
12,4,25,Imperial County,181215,45834
13,6,27,Inyo County,18039,52874
14,55,29,Kern County,900202,52479
15,22,31,Kings County,152940,53865
16,5,33,Lake County,64386,42475
17,2,35,Lassen County,30573,56362
18,2132,37,Los Angeles County,10039107,64251
19,23,39,Madera County,157327,52884
20,109,41,Marin County,258826,110217
21,7,43,Mariposa County,17203,51199
22,49,45,Mendocino County,86749,49233
23,20,47,Merced County,277680,50129
24,2,49,Modoc County,8841,45149
25,8,51,Mono County,14444,63018
26,114,53,Monterey County,434061,66676
27,132,55,Napa County,137744,84753
28,17,57,Nevada County,99755,63240
29,685,59,Orange County,3175692,85398
30,82,61,Placer County,398329,84357
31,4,63,Plumas County,18807,53270
32,331,65,Riverside County,2470546,63948
33,216,67,Sacramento County,1552058,63902
34,8,69,San Benito County,62808,81977
35,209,71,San Bernardino County,2180085,60164
36,618,73,San Diego County,3338330,74855
37,227,75,San Francisco County,881549,104552
38,62,77,San Joaquin County,762148,61145
39,121,79,San Luis Obispo County,283111,70699
40,294,81,San Mateo County,766573,113776
41,108,83,Santa Barbara County,446499,71657
42,597,85,Santa Clara County,1927852,116178
43,49,87,Santa Cruz County,273213,78041
44,17,89,Shasta County,180080,50905
45,1,91,Sierra County,3005,48125
46,14,93,Siskiyou County,43539,44200
47,73,95,Solano County,447643,77609
48,163,97,Sonoma County,494336,76753
49,35,99,Stanislaus County,550660,57387
50,5,101,Sutter County,96971,56955
51,5,103,Tehama County,65084,42899
52,4,105,Trinity County,12285,38497
53,30,107,Tulare County,466195,47518
54,11,109,Tuolumne County,54478,56493
55,171,111,Ventura County,846006,84017
56,73,113,Yolo County,220500,65923
57,6,115,Yuba County,78668,52624
